environment_biome	environment_biome_hl	environment_biome_hl2
	unclassified	unclassified
Temperate shelf and sea biome	marine	unclassified
N. A.	unclassified	unclassified
Plant	unclassified	unclassified
cropland	terrestrial	land
Tropical rainforest	terrestrial	land
Larval rearing tank	unclassified	unclassified
Small river	terrestrial	freshwater
forest	terrestrial	land
Forest used for rearch	terrestrial	unclassified
Field	terrestrial	unclassified
cropland biome	terrestrial	land
human-associated habitat	terrestrial_probable	land
laboratory	terrestrial_probable	land
Deep sea	marine	unclassified
river side	terrestrial	freshwater
coast	marine_and_terrestrial	unclassified
deep sea	marine	unclassified
tropics	unclassified	unclassified
deep-sea	marine	unclassified
150 years old lava flow at 150 m above sea level	marine	unclassified
axenic culture	unclassified	unclassified
biotron	unclassified	unclassified
greenhouse	terrestrial	land
Large river biome	terrestrial	freshwater
field	terrestrial	land
natural forest	terrestrial	land
marine biome	marine	unclassified
irrigated land	terrestrial	land
beach	marine_and_terrestrial	unclassified
sea water	marine	unclassified
Sea beach	marine_and_terrestrial	unclassified
space	unclassified	unclassified
ground	terrestrial	land
marine cold seep biome	marine	unclassified
hot spring	terrestrial	unclassified
Orchard	terrestrial	unclassified
mangrove swamp	marine_and_terrestrial	unclassified
deciduous	terrestrial	land
Greenhouse	terrestrial	unclassified
Limestone surface in evergreen temperate forest	terrestrial	land
ocean	marine	unclassified
Ocean	marine	unclassified
trivial woods forest	terrestrial	land
Oceanic Island	marine	unclassified
Continental Island	terrestrial	unclassified
Sea cliff	marine	unclassified
seashore	marine_and_terrestrial	unclassified
aquatic biome [ENVO_00002030]	unclassified	unclassified
ocean biome	marine	unclassified
terrestrial biome	terrestrial	land
Japan:Okinawa, Ishigaki island	terrestrial	land
marine benthic biome	marine	unclassified
planted forest	terrestrial	land
village biome	terrestrial	land
Prokaryotes	unclassified	unclassified
Hydraulic fracturing fluids recoverd from deep hydrocarbon-rich shale	unclassified	unclassified
shoreline, blackish water area	marine_and_terrestrial	other_terrestrial_water
ENVO:01000320	unclassified	unclassified
not collected	unclassified	unclassified
marine benthic biome (ENVO:01000024)	marine	unclassified
fecal environment	unclassified	unclassified
Aquatic biome	unclassified	unclassified
sediment	unclassified	unclassified
saline water	unclassified	other_terrestrial_water
hydrographic feature	unclassified	unclassified
desert	terrestrial	land
terrestirial biome	terrestrial	land
shore	marine_and_terrestrial	unclassified
sea	marine	unclassified
oceanic pelagic zone biome	marine	unclassified
human gut	terrestrial_probable	land
Tropical	unclassified	unclassified
asceptic culture	unclassified	unclassified
cultured habitat	unclassified	unclassified
warm temperate forest	terrestrial	land
2020	unclassified	unclassified
marine environment [ENVO:01000320]	marine	unclassified
freshwater	terrestrial	freshwater
the Temperate Zone	unclassified	unclassified
dog	terrestrial	land
freshwater lake	terrestrial	freshwater
subtropical forest	terrestrial	land
temperate forest	terrestrial	land
woodland biome	terrestrial	land
rumen microbiome	terrestrial	land
human-gut	terrestrial_probable	land
Mediterranean Sea biome	marine	unclassified
PC3	unclassified	unclassified
ENVO:01000048	unclassified	unclassified
ENVO:00000447	unclassified	unclassified
biogas	unclassified	unclassified
sludge	unclassified	unclassified
Fecal	unclassified	unclassified
marine waterbody	marine	other_terrestrial_water
coral reef	marine	unclassified
Stool	unclassified	unclassified
bio-photovoltaic bioreactor	terrestrial_probable	land
15	unclassified	unclassified
polar biome	unclassified	unclassified
mouse	terrestrial_probable	land
Human-associated-biome	terrestrial_probable	unclassified
urban biome	terrestrial	land
anthropogenic terrestrial biome	terrestrial	land
anaerobic bioreactor	terrestrial_probable	land
wheat and maize	terrestrial	land
microbiome	unclassified	unclassified
Temperate hardwood forest	terrestrial	land
host associated	unclassified	unclassified
Human oral metagenome	terrestrial_probable	unclassified
marine	marine	unclassified
Stool samples	unclassified	unclassified
water	unclassified	other_terrestrial_water
Sediment	unclassified	unclassified
Seawater	marine	other_terrestrial_water
Host associated	unclassified	unclassified
Human saliva metagenome	terrestrial_probable	unclassified
fermentation pit	terrestrial	land
Marine water	marine	other_terrestrial_water
Water	unclassified	other_terrestrial_water
costal	marine_and_terrestrial	unclassified
Xeric shrubland biome	terrestrial	land
polar desert biome	terrestrial	land
Beach	marine_and_terrestrial	unclassified
Urban Biome	terrestrial	unclassified
ENVO:01000024	unclassified	unclassified
ENVO:00000428	unclassified	unclassified
ENVO:00000873	unclassified	unclassified
Temperate broadleaf and mixed forest biome ENVO:00000876	terrestrial	land
gastrointestinal tract	unclassified	unclassified
Human microbiome	terrestrial_probable	unclassified
Moist_tropical_forests	terrestrial	land
Tropical_montane_forests	terrestrial	land
Temperate_coniferous_forests	terrestrial	land
Temperate_deciduous_forests	terrestrial	land
Mediterrean	marine	unclassified
Grasslands_and_shrublands	terrestrial	land
Savannas	terrestrial	unclassified
Dry_tropical_forests	terrestrial	land
Boreal_forests	terrestrial	land
Arctic_tundra	terrestrial	land
Southern_temperate_forests	terrestrial	land
seawater	marine	unclassified
stainless steel, brackish water	marine_and_terrestrial	other_terrestrial_water
stainless steel, brackish sea water	marine_and_terrestrial	unclassified
biogas reactor	terrestrial_probable	land
beech forest	terrestrial	land
Coastal saltern	marine_and_terrestrial	unclassified
Anaerobic Sludge	unclassified	unclassified
Grassland	terrestrial	unclassified
